Title,Directed by,Produced by,Cinematography,Country,Running Time (int),Release Date (datetime),Distributed by,Language,Written by,Starring,Edited by,Music by,Production companies,Based on,Story by,Budget (float),Box Office (float),Box Office Status,Release Year,Trailer ID,Trailer Title
Saw 3D,Kevin Greutert,"['Gregg Hoffman', 'Oren Koules', 'Mark Burg']",Brian Gedge,United States,90.0,2010-10-29,Lionsgate,English,"['Patrick Melton', 'Marcus Dunstan']","['Tobin Bell', 'Costas Mandylor', 'Betsy Russell', 'Sean Patrick Flanery', 'Cary Elwes']",Andrew Coutts,Charlie Clouser,Twisted Pictures,,,17000000.0,136200000.0,Success,2010,WXgdG7zl31k,Saw 3D - New Movie Trailer
The Girl Who Kicked the Hornets' Nest,Daniel Alfredson,Søren Stærmose,Peter Mokrosinski,,147.0,2009-11-27,"['Nordisk Film (Sweden and Denmark)', 'NFP (Germany)']",Swedish,Ulf Rydberg,"['Noomi Rapace', 'Michael Nyqvist', 'Annika Hallin', 'Lena Endre', 'Anders Ahlbom Rosendahl', 'Hans Alfredson', 'Jacob Ericksson', 'Sofia Ledarp', 'Mikael Spreitz', 'Niklas Hjulström', 'Lennart Hjulström', 'Georgi Staykov']",Håkan Karlsson,Jacob Groth,"['Yellow Bird', 'Nordisk Film', 'ZDF Enterprises', 'Sveriges Television', 'ZDF', 'Filmpool Stockholm-Mälardalen', 'Film i Väst', 'Spiltan Underhållning']","[""The Girl Who Kicked the Hornets' Nest"", 'by ', 'Stieg Larsson']",,5300000.0,43500000.0,Success,2009,daAePcTW9zw,The Girl Who Kicked The Hornets Nest | trailer US (2010)
Crayon,Dean A. Burhanuddin,"['Dean A. Burhanuddin', 'Linda Ziegler', 'Elise A. Hamid']",Eric Oh,Malaysia,85.0,2010-11-11,ZiOSS Films,,Dean A. Burhanuddin,"['Kahoe Howard Hon', 'Faisal Abdullah', 'Adibah Noor', 'Joshry Adamme']",,Pacai,ZiOSS Films,,,405760.0,16416.0,Failure,2010,AXl-3Vjq47g,Crayon [2010] - Official Trailer (HD)
Due Date,Todd Phillips,"['Todd Phillips', 'Dan Goldberg']",Lawrence Sher,United States,95.0,2010-10-31,Warner Bros. Pictures,English,"['Alan R. Cohen', 'Alan Freedland', 'Adam Sztykiel', 'Todd Phillips']","['Robert Downey Jr.', 'Zach Galifianakis', 'Michelle Monaghan', 'Juliette Lewis', 'Jamie Foxx']",Debra Neil-Fisher,Christophe Beck,"['Legendary Pictures', 'Green Hat Films', 'Classic Films, Inc.']",,"['Alan R. Cohen', 'Alan Freedland']",65000000.0,211800000.0,Success,2010,1p3NnJ_oiE0,Due Date Official Trailer #1 - (2010) HD
Fair Game,Doug Liman,"['Jez Butterworth', 'Akiva Goldsman', 'Doug Liman', 'Bill Pohlad', 'Jerry Zucker', 'Janet Zucker']",Doug Liman,,108.0,2010-05-20,"['Summit Entertainment', ' (United States)', 'Gulf Film', ' (United Arab Emirates)']",English,"['Jez Butterworth', 'John Butterworth']","['Naomi Watts', 'Sean Penn']",Christopher Tellefsen,John Powell,"['Participant Media', 'River Road Entertainment', 'Weed Road Pictures', 'Hypnotic', 'Zucker Productions']","['Fair Game', 'by ', 'Valerie Plame', 'The Politics of Truth', 'by ', 'Joseph C. Wilson']",,22000000.0,24200000.0,Failure,2010,bS1KKrG4nsM,Fair Game [2010] Official Trailer
For Colored Girls,Tyler Perry,Tyler Perry,Alexander Gruszynski,United States,133.0,2010-11-05,Lionsgate,English,Tyler Perry,"['Janet Jackson', 'Loretta Devine', 'Kimberly Elise', 'Thandiwe Newton', 'Anika Noni Rose', 'Tessa Thompson', 'Kerry Washington', 'Whoopi Goldberg']",Maysie Hoy,Aaron Zigman,"['34th Street Films', 'Tyler Perry Studios']","['For Colored Girls Who Have Considered Suicide / When The Rainbow Is Enuf', 'by ', 'Ntozake Shange']",,21000000.0,38000000.0,Failure,2010,LNdIMakUhVQ,For Colored Girls (2010) - Official Trailer
Megamind,Tom McGrath,"['Lara Breay', 'Denise Nolan Cascino']",,United States,96.0,2010-10-28,"['Paramount Pictures', 'DreamWorks Animation']",English,"['Alan Schoolcraft', 'Brent Simons']","['Will Ferrell', 'Tina Fey', 'Jonah Hill', 'David Cross', 'Brad Pitt']",Michael Andrews,"['Hans Zimmer', 'Lorne Balfe']","['DreamWorks Animation', 'Pacific Data Images']",,,130000000.0,321900000.0,Success,2010,ead9HCX9fe4,Megamind (2010) Trailer #1 | Movieclips Classic Trailers
Transformers: Revenge of the Fallen,Michael Bay,"['Lorenzo di Bonaventura', 'Tom DeSanto', 'Don Murphy', 'Ian Bryce']",Ben Seresin,United States,150.0,2009-06-08,Paramount Pictures,English,"['Ehren Kruger', 'Roberto Orci', 'Alex Kurtzman']","['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel', 'Tyrese Gibson', 'John Turturro']","['Roger Barton', 'Paul Rubell', 'Joel Negron', 'Thomas A. Muldoon']",Steve Jablonsky,"['Paramount Pictures', 'Di Bonaventura Pictures', 'DreamWorks Pictures', 'Hasbro']","['Transformers', 'by ', 'Hasbro']",,200000000.0,836500000.0,Success,2009,fnXzKwUgDhg,Transformers: Revenge of the Fallen | Official Trailer | Paramount Movies
127 Hours,Danny Boyle,"['Danny Boyle', 'Christian Colson', 'John Smithson']","['Anthony Dod Mantle', 'Enrique Chediak']",,94.0,2010-09-04,"['Warner Bros. Pictures (United Kingdom)', 'Fox Searchlight Pictures (United States)']",English,"['Danny Boyle', 'Simon Beaufoy']","['James Franco', 'Amber Tamblyn', 'Kate Mara']",Jon Harris,A. R. Rahman,"['Pathé', 'Everest Entertainment', 'Film4 Productions', 'HandMade Films', 'Cloud Eight Films']","['Between a Rock and a Hard Place', 'by ', 'Aron Ralston']",,18000000.0,60700000.0,Success,2010,OlhLOWTnVoQ,127 HOURS - Full Length Official Trailer HD
Guy and Madeline on a Park Bench,Damien Chazelle,"['Damien Chazelle', 'Mihai Dinulescu', 'Jasmine McGlade']",Damien Chazelle,United States,84.0,2009-04-23,Variance Films,,Damien Chazelle,"['Jason Palmer', 'Desiree Garcia', 'Sandha Khin']","['William Adam W. Parker', 'Damien Chazelle']",Justin Hurwitz,"['Varilight Films', 'Olive Productions']",,,60000.0,35556.0,Failure,2009,3xT8QGWHxRk,Guy and Madeline on a Park Bench - OFFICIAL TEASER
Five Minarets in New York,Mahsun Kırmızıgül,"['Murat Tokat', 'Mevlut Akkaya']",Jim Gucciardo,United States,117.0,2010-11-05,Boyut Film,English,Mahsun Kırmızıgül,"['Mahsun Kırmızıgül', 'Haluk Bilginer', 'Mustafa Sandal', 'Danny Glover', 'Gina Gershon', 'Robert Patrick']",Mustafa Presheva,"['Tevfik Akbasli', 'Yildiray Gürgen', 'Mahsun Kırmızıgül']",Boyut Film,,,21000000.0,12000000.0,Failure,2010,fQTUcCIU_yw,Five Minarets in New York - New York&#39;ta Beş Minare | trailer (2010)
Morning Glory,Roger Michell,"['J. J. Abrams', 'Bryan Burk']",Alwin H. Küchler,United States,107.0,2010-11-10,Paramount Pictures,English,Aline Brosh McKenna,"['Rachel McAdams', 'Harrison Ford', 'Diane Keaton', 'Patrick Wilson', 'Jeff Goldblum']","['Dan Farrell', 'Nick Moore', 'Steven Weisberg']",David Arnold,Bad Robot,,,40000000.0,60000000.0,Failure,2010,8l6-XZZIvGo,Morning Glory (2010) Trailer #1 | Movieclips Classic Trailers
Skyline,The Brothers Strause,"['The Brothers Strause', 'Kristian Andresen', ""Liam O'Donnell""]",Michael Watson,United States,94.0,2010-11-11,"['Universal Pictures', ' (United States)', 'IM Global', ' (International)']",English,"['Joshua Cordes', ""Liam O'Donnell""]","['Eric Balfour', 'Scottie Thompson', 'Brittany Daniel', 'David Zayas', 'Donald Faison']",Nicholas Wayman-Harris,Matthew Margeson,"['Rogue', 'Relativity Media', 'Hydraulx Entertainment', 'Transmission', 'Rat Entertainment']",,,10000000.0,68300000.0,Success,2010,mnoW5-DmIUM,Skyline - Theatrical Trailer
Unstoppable,Tony Scott,"['Julie Yorn', 'Tony Scott', 'Mimi Rogers', 'Eric McLeod', 'Alex Young']",Ben Seresin,United States,98.0,2010-10-26,20th Century Fox,English,Mark Bomback,"['Denzel Washington', 'Chris Pine', 'Rosario Dawson']","['Chris Lebenzon', 'Robert Duffy']",Harry Gregson-Williams,"['Dune Entertainment', 'Scott Free Productions', 'Prospect Park', 'Millbrook Farm Productions']",,,85000000.0,167800000.0,Failure,2010,fyuoIqeL-bc,Unstoppable Official Trailer #1 - (2010) HD
Harry Potter and the Deathly Hallows – Part 1,David Yates,"['David Heyman', 'David Barron', 'J. K. Rowling']",Eduardo Serra,,146.0,2010-11-11,Warner Bros. Pictures,English,Steve Kloves,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Helena Bonham Carter', 'Robbie Coltrane', 'Warwick Davis', 'Ralph Fiennes', 'Michael Gambon', 'Brendan Gleeson', 'Richard Griffiths', 'John Hurt', 'Jason Isaacs', 'Alan Rickman', 'Fiona Shaw', 'Timothy Spall', 'Imelda Staunton', 'David Thewlis', 'Julie Walters']",Mark Day,Alexandre Desplat,"['Warner Bros. Pictures', 'Heyday Films']","['Harry Potter and the Deathly Hallows', 'by ', 'J. K. Rowling']",,250000000.0,977100000.0,Success,2010,MxqsmsA8y5k,Harry Potter and the Deathly Hallows: Part 1 Official Trailer #1 - (2010) HD
The Next Three Days,Paul Haggis,"['Michael Nozik', 'Olivier Delbosc', 'Paul Haggis', 'Marc Missonnier']",Stéphane Fontaine,United States,133.0,2010-11-09,Lionsgate,English,Paul Haggis,"['Russell Crowe', 'Elizabeth Banks', 'Brian Dennehy', 'Olivia Wilde', 'Liam Neeson']",Jo Francis,Danny Elfman,"['Lionsgate', 'Highway 61 Films', 'Fidélité Films']","['Anything for Her', 'by Fred Cavayé', 'Guillaume Lemans']",,30000000.0,67400000.0,Failure,2010,p4z8XM6oTm8,The Next Three Days (2010) Trailer #1 | Movieclips Classic Trailers
Burlesque,Steven Antin,Donald De Line,Bojan Bazelli,United States,119.0,2010-11-24,Sony Pictures Releasing,English,Steven Antin,"['Cher', 'Christina Aguilera', 'Eric Dane', 'Cam Gigandet', 'Julianne Hough', 'Alan Cumming', 'Peter Gallagher', 'Kristen Bell', 'Stanley Tucci']",Virginia Katz,Christophe Beck,"['Screen Gems', 'De Line Pictures']",,,55000000.0,90500000.0,Failure,2010,_KqN85L-Vzk,BURLESQUE (2010) – Official Trailer
Faster,George Tillman Jr.,"['Martin Shafer', 'Liz Glotzer', 'Tony Gayton', 'Robert Teitel']",Michael Grady,United States,98.0,2010-11-24,"['CBS Films (Canada/United States)', 'Sony Pictures Releasing (International)']",English,"['Tony Gayton', 'Joe Gayton']","['Dwayne Johnson', 'Billy Bob Thornton', 'Oliver Jackson-Cohen', 'Carla Gugino', 'Maggie Grace', 'Moon Bloodgood', 'Adewale Akinnuoye-Agbaje', 'Tom Berenger']",Dirk Westervelt,Clint Mansell,"['Castle Rock Entertainment', 'State Street Pictures', 'TriStar Pictures']",,,24000000.0,35600000.0,Failure,2010,XDBeFAlgjio,Faster - Official Trailer
Love & Other Drugs,Edward Zwick,"['Scott Stuber', 'Edward Zwick', 'Marshall Herskovitz', 'Charles Randolph', 'Pieter Jan Brugge']",Steven Fierberg,United States,112.0,2010-11-04,20th Century Fox,English,"['Charles Randolph', 'Edward Zwick', 'Marshall Herskovitz']","['Jake Gyllenhaal', 'Anne Hathaway', 'Oliver Platt', 'Hank Azaria', 'Josh Gad', 'Gabriel Macht']",Steven Rosenblum,James Newton Howard,"['Fox 2000 Pictures', 'Regency Enterprises', 'New Regency', 'Stuber Pictures', 'Bedford Falls Productions', 'Dune Entertainment']","['Hard Sell: The Evolution of a Viagra Salesman', 'by ', 'Jamie Reidy']",,30000000.0,105000000.0,Success,2010,h6w7Dh-QxzY,Love and Other Drugs | Trailer HD | 20th Century FOX
Tangled,"['Nathan Greno', 'Byron Howard']",Roy Conli,,United States,100.0,2010-11-14,"['Walt Disney Studios', 'Motion Pictures']",English,Dan Fogelman,"['Mandy Moore', 'Zachary Levi', 'Donna Murphy']",Tim Mertens,Alan Menken,"['Walt Disney Pictures', 'Walt Disney Animation Studios']","['""', 'Rapunzel', '""', 'by the ', 'Brothers Grimm']",,260000000.0,592500000.0,Success,2010,ycoY201RTRo,TANGLED | Original Movie Trailer | Official Disney UK
The Nutcracker in 3D,Andrei Konchalovsky,"['Andrei Konchalovsky', 'Paul Lowin']",Mike Southon,,110.0,2010-11-24,"['G2 Pictures', 'Central Partnership', 'Vertigo Média']",English,"['Andrei Konchalovsky', 'Chris Solimine']","['Elle Fanning', 'Nathan Lane', 'John Turturro', 'Charlie Rowe', 'Shirley Henderson', 'Frances de la Tour', 'Richard E. Grant', 'Yulia Vysotskaya', 'Aaron Michael Drozin']","['Mathieu Bélanger', 'Andrew Glen']","['Pyotr Ilyich Tchaikovsky', 'Eduard Artemyev', 'Tim Rice (lyrics)']","['Vnesheconombank', 'Noisette Film Productions', 'HCC Media Group', 'Russian Roulette Ltd.']","['The Nutcracker', 'by ', 'Pyotr Ilyich Tchaikovsky', '""', 'The Nutcracker and the Mouse King', '""', 'by ', 'E. T. A. Hoffmann', '(both uncredited)']",,90000000.0,20500000.0,Failure,2010,dgv6W7xkomk,The Nutcracker in 3D - Trailer
The King's Speech,Tom Hooper,"['Iain Canning', 'Emile Sherman', 'Gareth Unwin']",Danny Cohen,,119.0,2010-09-06,"['Momentum Pictures (United Kingdom)', 'Paramount Pictures Transmission Films (Australia)']",English,David Seidler,"['Colin Firth', 'Geoffrey Rush', 'Helena Bonham Carter', 'Guy Pearce', 'Timothy Spall', 'Derek Jacobi', 'Jennifer Ehle', 'Michael Gambon']",Tariq Anwar,Alexandre Desplat,"['UK Film Council', 'Momentum Pictures', 'Aegis Film Fund', 'Molinare, London', 'FilmNation Entertainment', 'See-Saw Films', 'Bedlam Productions']",,,15000000.0,427400000.0,Success,2010,EcxBrTvLbBM,The King&#39;s Speech Trailer
Black Swan,Darren Aronofsky,"['Mike Medavoy', 'Arnold W. Messer', 'Brian Oliver', 'Scott Franklin']",Matthew Libatique,United States,108.0,2010-09-01,Fox Searchlight Pictures,English,"['Mark Heyman', 'Andres Heinz', 'John McLaughlin']","['Natalie Portman', 'Vincent Cassel', 'Mila Kunis', 'Barbara Hershey', 'Winona Ryder']",Andrew Weisblum,Clint Mansell,"['Cross Creek Pictures', 'Protozoa Pictures', 'Phoenix Pictures', 'Dune Entertainment']",,Andres Heinz,13000000.0,330000000.0,Success,2010,5jaI1XOB-bs,BLACK SWAN | Official Trailer | FOX Searchlight
I Love You Phillip Morris,"['John Requa', 'Glenn Ficarra']","['Andrew Lazar', 'Far Shariat']",Xavier Pérez Grobet,['France'],93.0,2009-01-18,['EuropaCorp'],English,"['John Requa', 'Glenn Ficarra']","['Jim Carrey', 'Ewan McGregor', 'Rodrigo Santoro', 'Antoni Corone', 'Leslie Mann']",Thomas J. Nordberg,Nick Urata,"['EuropaCorp', 'Mad Chance Productions']","['I Love You Phillip Morris: A True Story of Life, Love, and Prison Breaks', 'by Steve McVicker']",,13000000.0,20700000.0,Failure,2009,wzWB9KHgaiE,I Love You Phillip Morris (2009) Trailer #1 | Movieclips Classic Trailers
The Warrior's Way,Sngmoo Lee,"['Barrie M. Osborne', 'Lee Joo-Ick', 'Michael Peyser']",Woo-Hyung Kim,,100.0,2010-12-03,Rogue,English,Sngmoo Lee,"['Geoffrey Rush', 'Kate Bosworth', 'Danny Huston', 'Jang Dong-gun', 'Tony Cox', 'Ti Lung']",Jonathan Woodford-Robinson,Javier Navarrete,"['Fuse Media', 'Sad Flutes', 'Relativity Media']",,,42000000.0,11087569.0,Failure,2010,Kq64CHaV8yA,The Warriors Way | trailer #1 US (2010)
The Chronicles of Narnia: The Voyage of the Dawn Treader,Michael Apted,"['Mark Johnson', 'Andrew Adamson', 'Philip Steuer']",Dante Spinotti,,113.0,2010-11-30,20th Century Fox,English,"['Christopher Markus Stephen McFeely', 'Michael Petroni']","['Georgie Henley', 'Skandar Keynes', 'Ben Barnes', 'Will Poulter', 'Tilda Swinton']",Rick Shaine,David Arnold,"['Fox 2000 Pictures', 'Dune Entertainment', 'Walden Media', 'Mark Johnson Productions']","['The Voyage of the Dawn Treader', 'by ', 'C. S. Lewis']",,140.0,415600000.0,Success,2010,AON1-Ox-Llc,The Chronicles Of Narnia: The Voyage Of The Dawn Treader OFFICIAL TRAILER
The Tourist,Florian Henckel von Donnersmarck,"['Graham King', 'Timothy Headington', 'Roger Birnbaum', 'Gary Barber', 'Jonathan Glickman']",John Seale,United States,103.0,2010-12-10,Sony Pictures Releasing,English,"['Florian Henckel von Donnersmarck', 'Christopher McQuarrie', 'Julian Fellowes']","['Johnny Depp', 'Angelina Jolie', 'Paul Bettany', 'Timothy Dalton', 'Steven Berkoff', 'Rufus Sewell', 'Christian De Sica']","['Joe Hutshing', 'Patricia Rommel']",James Newton Howard,"['Columbia Pictures', 'GK Films', 'Spyglass Entertainment', 'StudioCanal']","['Anthony Zimmer', 'by ', 'Jérôme Salle']",,100000000.0,278300000.0,Success,2010,5R0vcopCNG0,The Tourist Official Trailer #1 - (2010) HD
The Tempest,Julie Taymor,"['Julie Taymor', 'Robert Chartoff', 'Lynn Hendee', 'Julia Taylor-Stanley', 'Jason K. Lau']",Stuart Dryburgh,United States,110.0,2010-09-11,"['Walt Disney Studios', 'Motion Pictures']",English,Julie Taymor,"['Helen Mirren', 'Russell Brand', 'Reeve Carney', 'Tom Conti', 'Chris Cooper', 'Alan Cumming', 'Djimon Hounsou', 'Felicity Jones', 'Alfred Molina', 'David Strathairn', 'Ben Whishaw']",Françoise Bonnot,Elliot Goldenthal,"['Touchstone Pictures', 'Miramax Films', 'Chartoff/Hendee Productions', 'TalkStory Productions', 'Artemis Films', 'Mumbai Mantra Media Limited']","['The Tempest', 'by ', 'William Shakespeare']",,20000000.0,346594.0,Failure,2010,opjhs1mgd1s,The Tempest Movie Trailer
The Fighter,David O. Russell,"['David Hoberman', 'Todd Lieberman', 'Ryan Kavanaugh', 'Mark Wahlberg', 'Dorothy Aufiero', 'Paul Tamasy']",Hoyte van Hoytema,United States,116.0,2010-12-06,Paramount Pictures,English,"['Scott Silver', 'Paul Tamasy', 'Eric Johnson']","['Mark Wahlberg', 'Christian Bale', 'Amy Adams', 'Melissa Leo']",Pamela Martin,Michael Brook,"['Relativity Media', 'The Weinstein Company', 'Mandeville Films', 'Closest to the Hole Productions']",,"['Keith Dorrington', 'Paul Tamasy', 'Eric Johnson']",11000000.0,129200000.0,Success,2010,LRIZ4mCi5Ps,The Fighter Movie Trailer (HD)
How Do You Know,James L. Brooks,"['Julie Ansell', 'James L. Brooks', 'Laurence Mark', 'Paula Weinstein']",Janusz Kamiński,United States,121.0,2010-12-13,Sony Pictures Releasing,English,James L. Brooks,"['Reese Witherspoon', 'Owen Wilson', 'Paul Rudd', 'Jack Nicholson', 'Kathryn Hahn']",Richard Marks,Hans Zimmer,Columbia Pictures,,,120000000.0,48700000.0,Failure,2010,8u_gSd9eIO8,How Do You Know Official Trailer #1 - (2010) HD
Tron: Legacy,Joseph Kosinski,"['Sean Bailey', 'Jeffrey Silver', 'Steven Lisberger']",Claudio Miranda,United States,125.0,2010-11-30,Walt Disney Studios Motion Pictures,English,"['Edward Kitsis', 'Adam Horowitz']","['Garrett Hedlund', 'Jeff Bridges', 'Olivia Wilde', 'Bruce Boxleitner', 'James Frain', 'Beau Garrett', 'Michael Sheen']",James Haygood,Daft Punk,"['Walt Disney Pictures', 'Sean Bailey Productions']","['Steven Lisberger', 'Bonnie MacBird']","['Edward Kitsis', 'Adam Horowitz', 'Brian Klugman', 'Lee Sternthal']",170000000.0,400100000.0,Success,2010,L9szn1QQfas,TRON: LEGACY Official Trailer
Yogi Bear,Eric Brevig,"['Donald De Line', 'Karen Rosenfelt']",Peter James,United States,80.0,2010-12-11,Warner Bros. Pictures,English,"['Brad Copeland', 'Joshua Sternin', 'Jennifer Ventimilia']","['Dan Aykroyd', 'Justin Timberlake', 'Anna Faris', 'Tom Cavanagh', 'T.J. Miller']",Kent Beyda,John Debney,"['De Line Pictures', 'Sunswept Entertainment']","['The Yogi Bear Show', 'by ', 'William Hanna', 'Joseph Barbera']",,80000000.0,203500000.0,Success,2010,9iyYTz0Bh0Y,YOGI BEAR Official Movie Trailer
Casino Jack,George Hickenlooper,"['Gary Howsam', 'Bill Marks', 'George Zakk']",Adam Swica,Canada,103.0,2010-09-16,Entertainment One,English,Norman Snider,"['Kevin Spacey', 'Barry Pepper', 'Rachelle Lefevre', 'Kelly Preston', 'Jon Lovitz', 'Maury Chaykin']",William Steinkamp,Jonathan Goldsmith,"['Hannibal Pictures', 'Rollercoaster Entertainment']",,,12500000.0,1200000.0,Failure,2010,Lg12GW49TOQ,Casino Jack (2010) Official Trailer #1 - Kevin Spacey Movie HD
Rabbit Hole,John Cameron Mitchell,"['Gigi Pritzker', 'Nicole Kidman', 'Per Saari', 'Leslie Urdang', 'Dean Vanech']",Frankie DeMarco,United States,91.0,2010-09-13,Lionsgate,English,David Lindsay-Abaire,"['Nicole Kidman', 'Aaron Eckhart', 'Dianne Wiest', 'Tammy Blanchard', 'Miles Teller', 'Giancarlo Esposito', 'Jon Tenney', 'Sandra Oh']",Joe Klotz,Anton Sanko,"['Olympus Pictures', 'Blossom Films', 'OddLot Entertainment']","['Rabbit Hole', 'by David Lindsay-Abaire']",,3000000.0,6200000.0,Failure,2010,8V5904uauqg,Rabbit Hole | trailer US (2010) Nicole Kidman
Little Fockers,Paul Weitz,"['Jane Rosenthal', 'Robert De Niro', 'Jay Roach', 'John Hamburg']",Remi Adefarasin,United States,98.0,2010-12-22,"['Universal Pictures (North America)', 'Paramount Pictures (International)']",English,"['John Hamburg', 'Larry Stuckey']","['Robert De Niro', 'Ben Stiller', 'Owen Wilson', 'Blythe Danner', 'Teri Polo', 'Jessica Alba', 'Dustin Hoffman', 'Barbra Streisand']","['Greg Hayden', 'Leslie Jones', 'Myron Kerstein']",Stephen Trask,"['DreamWorks Pictures', 'Relativity Media', 'TriBeCa Productions', 'Everyman Pictures']","['Characters', 'by ', 'Greg Glienna', 'Mary Ruth Clarke']",,100000000.0,310700000.0,Success,2010,CIUpb2aQ5rM,Little Fockers Official Trailer #1 - (2010) HD
True Grit,"['Joel Coen', 'Ethan Coen']","['Joel Coen', 'Ethan Coen', 'Scott Rudin']",Roger Deakins,United States,110.0,2010-12-22,Paramount Pictures,English,"['Joel Coen', 'Ethan Coen']","['Jeff Bridges', 'Matt Damon', 'Josh Brolin', 'Barry Pepper', 'Hailee Steinfeld']",Roderick Jaynes,Carter Burwell,"['Paramount Pictures', 'Skydance Productions', 'Mike Zoss Productions', 'DreamWorks Pictures', 'Scott Rudin Productions']","['True Grit', 'by ', 'Charles Portis']",,35000000.0,252300000.0,Success,2010,Q5fEgKj9QNs,True Grit (2010) Theatrical Trailer
Somewhere,Sofia Coppola,"['G. Mac Brown', 'Roman Coppola', 'Sofia Coppola']",Harris Savides,,98.0,2010-09-11,Focus Features,English,Sofia Coppola,"['Stephen Dorff', 'Elle Fanning']",Sarah Flack,Phoenix,"['Pathé Distribution', 'Medusa Film', 'Tohokushinsha', 'American Zoetrope']",,,7000000.0,13900000.0,Failure,2010,iEga7Hz9a3U,Somewhere - Official Trailer
Country Strong,Shana Feste,"['Tobey Maguire', 'Jenno Topping']",John Bailey,United States,117.0,2010-11-08,Screen Gems (through Sony Pictures Releasing ),English,Shana Feste,"['Gwyneth Paltrow', 'Tim McGraw', 'Garrett Hedlund', 'Leighton Meester']",Connor O'Neill,Michael Brook,Maguire Pictures,,,12000000.0,20600000.0,Failure,2010,UhHRlpLuU7A,Official COUNTRY STRONG Trailer - In Theaters 1/7/11
