Title,Directed by,Produced by,Cinematography,Country,Running Time (int),Release Date (datetime),Distributed by,Language,Written by,Starring,Edited by,Music by,Production companies,Based on,Story by,Budget (float),Box Office (float),Box Office Status
After,Jenny Gage,"['Jennifer Gibgot', 'Courtney Solomon', 'Mark Canton', 'Aron Levitz', 'Anna Todd', 'Meadow Williams', 'Dennis Pelino']","['Adam Silver', 'Tom Betterton']",United States,106,2019-04-08,Aviron Pictures,English,"['Susan McMartin', 'Tamara Chestna', 'Jenny Gage', 'Tom Betterton']","['Josephine Langford', 'Hero Fiennes Tiffin', 'Selma Blair', 'Inanna Sarkis', 'Shane Paul McGhie', 'Pia Mia', 'Khadijha Red Thunder', 'Dylan Arnold', 'Samuel Larsen', 'Jennifer Beals', 'Peter Gallagher']",Michelle Harrison,Justin Burnett,"['Voltage Pictures', 'CalMaple Media', 'Diamond Film Productions', 'Offspring Entertainment', 'Frayed Pages Entertainment', 'Wattpad Studios']","['After', 'by ', 'Anna Todd']",,14000000.0,69500000.0,Success
Her Smell,Alex Ross Perry,"['Elisabeth Moss', 'Matthew Perniciaro', 'Alex Ross Perry', 'Adam Piotrowicz', 'Michael Sherman']",Sean Price Williams,United States,135,2018-09-09,Gunpowder & Sky,English,Alex Ross Perry,"['Elisabeth Moss', 'Cara Delevingne', 'Dan Stevens', 'Agyness Deyn', 'Gayle Rankin', 'Ashley Benson', 'Dylan Gelula', 'Eka Darville', 'Lindsay Burdge']",Robert Greene,"['Keegan DeWitt', 'Alicia Bognanno']","['Bow and Arrow Entertainment', 'Faliro House Productions']",,,,260481.0,
Breakthrough,Roxann Dawson,DeVon Franklin,Zoran Popovic,United States,116,2019-03-20,20th Century Fox,English,Grant Nieporte,"['Chrissy Metz', 'Josh Lucas', 'Topher Grace', 'Mike Colter', 'Marcel Ruiz', 'Sam Trammell', 'Dennis Haysbert']",Maysie Hoy,Marcelo Zarvos,"['Fox 2000 Pictures', 'Franklin Entertainment', 'Unanimous Media', 'TSG Entertainment']","['Joyce Smith', 'Ginger Kolbaba']",,14000000.0,50400000.0,Success
Penguins,"['Alastair Fothergill', 'Jeff Wilson']","['Alastair Fothergill', 'Keith Scholey', 'Roy Conli', 'Jeff Wilson']",,United States,76,2019-04-17,Walt Disney Studios Motion Pictures,English,David Fowler,,Andy Netley,Harry Gregson-Williams,"['Disneynature', 'Silverback Films']",,,,7700000.0,
The Curse of La Llorona,Michael Chaves,"['James Wan', 'Gary Dauberman', 'Emile Gladstone']",Michael Burgess,United States,93,2019-03-15,Warner Bros. Pictures,,"['Mikki Daughtry', 'Tobias Iaconis']","['Linda Cardellini', 'Raymond Cruz', 'Patricia Velásquez']",Peter Gvozdas,Joseph Bishara,"['New Line Cinema', 'Atomic Monster', 'Emile Gladstone Productions']",,,9000000.0,123100000.0,Success
Under the Silver Lake,David Robert Mitchell,"['Michael De Luca', 'Chris Bender', 'Jake Weiner', 'Adele Romanski', 'David Robert Mitchell']",Michael Gioulakis,United States,139,2018-05-15,A24,English,David Robert Mitchell,"['Andrew Garfield', 'Riley Keough', 'Topher Grace']",Julio C. Perez IV,Disasterpeace,"['Vendian Entertainment', 'VX119 Media Capital', 'Stay Gold Features', 'Good Fear', 'Michael De Luca Productions', 'Pastel Productions', 'UnLtd Productions', 'Salem Street Entertainment', 'Boo Pictures']",,,8000000.0,2053469.0,Failure
Family,Laura Steinel,"['Jeremy Garelick', 'Kit Giordano', 'Sue Naegle']",Michael Simmonds,United States,88,2018-03-11,The Film Arcade,English,Laura Steinel,"['Taylor Schilling', 'Brian Tyree Henry', 'Bryn Vale', 'Allison Tolman', 'Fabrizio Guido', 'Kate McKinnon', 'Peter Horton']",Glenn Garland,Jeremy Turner,"['Naegle Ink', 'Stage 6 Films']",,,,194601.0,
Fast Color,Julia Hart,"['Jordan Horowitz', 'Mickey Liddell', 'Pete Shilaimon']",Michael Fimognari,United States,102,2018-03-10,"['Lionsgate', 'Codeblack Films']",English,"['Julia Hart', 'Jordan Horowitz']","['Gugu Mbatha-Raw', 'Lorraine Toussaint', 'Saniyya Sidney', 'Christopher Denham', 'David Strathairn']",Martin Pensa,Rob Simonsen,"['LD Entertainment', 'Original Headquarters']",,,,76916.0,
Someone Great,Jennifer Kaytin Robinson,"['Paul Feig', 'Jessie Henderson', 'Anthony Bregman', 'Peter Cron', 'Gina Rodriguez']",Autumn Eakin,United States,92,2019-04-19,Netflix,English,Jennifer Kaytin Robinson,"['Gina Rodriguez', 'Brittany Snow', 'DeWanda Wise', 'Lakeith Stanfield', 'Peter Vack']","['Mollie Goldstein', 'Jeffrey Wolf']",Germaine Franco,"['Feigco Entertainment', 'Likely Story', 'I Can & I Will Productions']",,,,,
I Spit on Your Grave: Deja Vu,Meir Zarchi,"[""Jan O'Connell"", 'Terry Zarchi']",Pedja Radenkovic,United States,148,2019-04-23,Deja Vu LLC,English,Meir Zarchi,"['Camille Keaton', 'Jamie Bernadette', 'Maria Olsen', 'Meir Zarchi']",Terry Zarchi,,Deja Vu LLC,,,,,
Avengers: Endgame,"['Anthony Russo', 'Joe Russo']",Kevin Feige,Trent Opaloch,United States,181,2019-04-22,"['Walt Disney Studios', 'Motion Pictures']",English,"['Christopher Markus', 'Stephen McFeely']","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Don Cheadle', 'Paul Rudd', 'Brie Larson', 'Karen Gillan', 'Danai Gurira', 'Benedict Wong', 'Jon Favreau', 'Bradley Cooper', 'Gwyneth Paltrow', 'Josh Brolin']","['Jeffrey Ford', 'Matthew Schmidt']",Alan Silvestri,Marvel Studios,"['Stan Lee', 'Jack Kirby']",,356000000.0,2799000000.0,Success
I Trapped the Devil,Josh Lobo,"['Josh Lobo', 'Spence Nicholson', 'Rowan Russell', 'Scott Weinberg']",Bryce Holden,United States,82,2019-04-12,IFC Midnight,English,Josh Lobo,"['A. J. Bowen', 'Scott Poythress', 'Susan Burke', 'Jocelin Donahue', 'Chris Sullivan']",Josh Lobo,Ben Lovett,Yellow Veil Pictures,,,,,
Body at Brighton Rock,Roxanne Benjamin,"['Roxanne Benjamin', 'Christopher Alender']",Hannah Getz,United States,87,2019-03-08,Magnet Releasing,English,Roxanne Benjamin,"['Karina Fontes', 'Casey Adams', 'Emily Althaus', 'Miranda Bailey', 'Martin Spanjers', 'Matt Peters', 'Susan Burke', 'John Getz']","['Courtney Marcilliat', 'Matt Blundell']",The Gifted,"['SoapBox Films', 'ProtoStar Pictures']",,,500.0,5123.0,Success
Buffaloed,Tanya Wexler,"['Mason Novick', 'John Finemore', 'Bannor Michael MacGregor', 'Jeff Katz', 'Zoey Deutch', 'Brian Sacca']",Guy Godfree,United States,95,2019-04-27,Magnolia Pictures,English,Brian Sacca,"['Zoey Deutch', 'Judy Greer', 'Jermaine Fowler', 'Noah Reid', 'Jai Courtney']",Casey Brooks,Matthew Margeson,"['Lost City', 'Bold Crayon Pictures', 'MXN Entertainment']",,,,29118.0,
Long Shot,Jonathan Levine,"['Charlize Theron', 'A.J. Dix', 'Beth Kono', 'Evan Goldberg', 'Seth Rogen', 'James Weaver']",Yves Bélanger,United States,124,2019-03-09,Lionsgate,English,"['Dan Sterling', 'Liz Hannah']","['Seth Rogen', 'Charlize Theron', ""O'Shea Jackson Jr."", 'Andy Serkis', 'June Diane Raphael', 'Bob Odenkirk', 'Alexander Skarsgård']","['Melissa Bretherton', 'Evan Henke']","['Marco Beltrami', 'Miles Hankins']","['Summit Entertainment', 'Good Universe', 'Point Grey Pictures', 'Denver + Delilah Productions']",,Dan Sterling,40000000.0,53900000.0,Failure
The Intruder,Deon Taylor,"['Deon Taylor', 'Roxanne Avent', 'Mark Burg', 'Brad Kaplan', 'Jonathan Schwartz']",Daniel Pearl,United States,102,2019-05-03,Sony Pictures Releasing,English,David Loughery,"['Michael Ealy', 'Meagan Good', 'Joseph Sikora', 'Dennis Quaid']",Melissa Kent,Geoff Zanelli,"['Screen Gems', 'Hidden Empire Film Group', 'Primary Wave Entertainment']",,,8000000.0,40600000.0,Success
UglyDolls,Kelly Asbury,"['Jane Hartwell', 'Robert Rodriguez', 'Oren Aviv']",,,87,2019-05-03,"['STX Entertainment', ' (United States)', 'VVS Films', ' (Canada)', ' ', 'Huaxia Film Distribution', ' (China)']",,Alison Peck,"['Kelly Clarkson', 'Janelle Monáe', 'Blake Shelton', 'Wanda Sykes', 'Gabriel Iglesias', 'Wang Leehom', 'Nick Jonas', 'Pitbull']","['Julie Rogers', 'Nolan Southerland']",Christopher Lennertz,"['STX Family', 'Reel FX Animation Studios', 'Alibaba Pictures', 'Original Force', 'Troublemaker Studios']","['David Horvath', 'Sun-min Kim']","['Robert Rodriguez', 'Larry Stuckey (uncredited)']",45000000.0,32500000.0,Failure
"Extremely Wicked, Shockingly Evil and Vile",Joe Berlinger,"['Michael Costigan', 'Nicolas Chartier', 'Joe Berlinger', 'Ara Keshishian', 'Michael Simkin']",Brandon Trost,United States,108,2019-01-26,Netflix,English,Michael Werwie,"['Zac Efron', 'Lily Collins', 'Kaya Scodelario', 'Haley Joel Osment', 'Jim Parsons', 'John Malkovich', 'James Hetfield']",Josh Schaeffer,"['Marco Beltrami', 'Dennis Smith']","['COTA Films', 'Voltage Pictures', 'Third Eye Motion Picture Company']","['The Phantom Prince: My Life with Ted Bundy', 'by Elizabeth Kendall']",,,9800000.0,
The Last Summer,William Bindley,"['Mike Karz', 'William Bindley', 'Wayne Rice']",Luca Del Puppo,United States,110,2019-05-03,Netflix,English,"['Scott Bindley', 'William Bindley']","['KJ Apa', 'Maia Mitchell', 'Jacob Latimore', 'Halston Sage', 'Sosie Bacon', 'Wolfgang Novogratz', 'Gabrielle Anwar', 'Ed Quinn', 'Jacob McCarth', 'Mario Revolori', 'Gage Golightly', 'Norman Johnson, Jr.', 'Tyler Posey']","['William Hoy', 'Melissa Remenarich-Aperlo']",Ryan Miller,Gulfstream Pictures,,,,,
Pokémon Detective Pikachu,Rob Letterman,"['Mary Parent', 'Cale Boyter', 'Hidenaga Katakami', 'Don McGowan']",John Mathieson,,104,2019-05-03,"['Warner Bros. Pictures (Worldwide)', 'Toho (Japan)']",English,"['Dan Hernandez', 'Benji Samit', 'Rob Letterman', 'Derek Connolly']","['Ryan Reynolds', 'Justice Smith', 'Kathryn Newton', 'Suki Waterhouse', 'Omar Chaparro', 'Chris Geere', 'Ken Watanabe', 'Bill Nighy']","['Mark Sanger', 'James Thomas']",Henry Jackman,"['Legendary Pictures', 'The Pokémon Company']","['Nintendo , Game Freak , The Pokémon Company , &', 'Creatures Inc.']","['Dan Hernandez', 'Benji Samit', 'Nicole Perlman']",150000000.0,450100000.0,Success
The Hustle,Chris Addison,"['Roger Birnbaum', 'Rebel Wilson']",Michael Coulter,United States,94,2019-05-10,"['United Artists Releasing (United States)', 'Universal Pictures (International)']",English,"['Stanley Shapiro', 'Paul Henning', 'Dale Launer', 'Jac Schaeffer']","['Anne Hathaway', 'Rebel Wilson', 'Alex Sharp', 'Dean Norris', 'Timothy Simons', 'Ingrid Oliver']",Anthony Boys,Anne Dudley,"['Metro-Goldwyn-Mayer', 'Pin High Productions', 'Cave 76 Productions', 'Camp Sugar Productions']",,"['Stanley Shapiro', 'Paul Henning', 'Dale Launer']",21000000.0,97400000.0,Success
Tolkien,Dome Karukoski,"['Peter Chernin', 'Jenno Topping', 'David Ready', 'Kris Thykier']",Lasse Frank,,112,2019-05-03,Fox Searchlight Pictures,English,"['David Gleeson', 'Stephen Beresford']","['Nicholas Hoult', 'Lily Collins', 'Colm Meaney', 'Derek Jacobi']",Harri Ylönen,Thomas Newman,Chernin Entertainment,,,20000000.0,9000000.0,Failure
Poms,Zara Hayes,"['Rose Ganguzza', 'Celyn Jones', 'Sean Marley', 'Kelly McCormick', 'Ade Shannon', 'Andy Evans']",Tim Orr,United States,90,2019-05-10,STX Entertainment,English,Shane Atkinson,"['Diane Keaton', 'Jacki Weaver', 'Pam Grier', 'Celia Weston', 'Alisha Boe', 'Phyllis Somerville', 'Charlie Tahan', 'Bruce McGill', 'Rhea Perlman']",Annette Davey,Deborah Lurie,"['Entertainment One', 'Sierra Pictures', 'Mad As Birds', 'Rose Pictures']",,"['Zara Hayes', 'Shane Atkinson']",10000000.0,16500000.0,Failure
The Professor and the Madman,P. B. Shemran,"['Nicolas Chartier', 'Gastón Pavlovich', 'Mel Gibson']",Kasper Tuxen,,124,2019-05-10,Vertical Entertainment,English,"['Todd Komarnicki', 'P. B. Shemran']","['Mel Gibson', 'Sean Penn', 'Natalie Dormer', 'Eddie Marsan', 'Jennifer Ehle', 'Jeremy Irvine', ""David O'Hara"", 'Ioan Gruffudd', 'Stephen Dillane', 'Steve Coogan']",Dino Jonsater,Bear McCreary,"['Voltage Pictures', 'Fábrica de Cine', 'Definition Films', '22h22', 'Zik Zak Filmworks', 'Caviar Antwerp NV']","['The Surgeon of Crowthorne', 'by Simon Winchester']",,25000000.0,5100000.0,Failure
John Wick: Chapter 3 – Parabellum,Chad Stahelski,"['Basil Iwanyk', 'Erica Lee']",Dan Laustsen,United States,131,2019-05-09,Lionsgate,English,"['Derek Kolstad', 'Shay Hatten', 'Chris Collins', 'Marc Abrams']","['Keanu Reeves', 'Halle Berry', 'Laurence Fishburne', 'Mark Dacascos', 'Asia Kate Dillon', 'Lance Reddick', 'Anjelica Huston', 'Ian McShane']",Evan Schiff,"['Tyler Bates', 'Joel J. Richard']","['Summit Entertainment', 'Thunder Road Films', '87Eleven Productions']","['Characters', 'by Derek Kolstad']",Derek Kolstad,75000000.0,327700000.0,Success
A Dog's Journey,Gail Mancuso,Gavin Polone,Rogier Stoffers,United States,109,2019-05-17,Universal Pictures,English,"['W. Bruce Cameron', 'Cathryn Michon', 'Maya Forbes', 'Wally Wolodarsky']","['Marg Helgenberger', 'Betty Gilpin', 'Henry Lau', 'Kathryn Prescott', 'Dennis Quaid', 'Josh Gad']",Robert Komatsu,Mark Isham,"['Amblin Entertainment', 'Reliance Entertainment', 'Walden Media', 'Alibaba Pictures', 'Pariah Entertainment Group']","[""A Dog's Journey"", 'by W. Bruce Cameron']",,16000000.0,75800000.0,Success
The Professor,Wayne Roberts,"['Brian Kavanaugh-Jones', 'Greg Shapiro', 'Braden Aftergood']",Tim Orr,United States,90,2018-10-05,Saban Films,English,Wayne Roberts,"['Johnny Depp', 'Rosemarie DeWitt', 'Danny Huston', 'Zoey Deutch', 'Ron Livingston', 'Odessa Young', 'Paloma Kwiatkowski']",Sabine Emiliani,"['Bryce Dessner', 'Aaron Dessner']","['Global Road Entertainment', 'Automatik Entertainment', 'Infinitum Nihil', 'Leeding Media', 'Starlings Entertainment', 'Relic Pictures']",,,,3600000.0,
The Souvenir,Joanna Hogg,"['Joanna Hogg', 'Luke Schiller']",David Raedeker,,119,2019-01-27,"['A24 (United States)', 'Curzon Artificial Eye (United Kingdom)']",English,Joanna Hogg,"['Honor Swinton Byrne', 'Tom Burke', 'Tilda Swinton']",Helle Le Fevre,,"['JWH Films', 'BBC Films', 'British Film Institute', 'Sikelia Productions', 'Protagonist Pictures']",,,,2000000.0,
The Tomorrow Man,Noble Jones,"['Nicholas Bertelsen', 'Tony Lipp', 'James Schamus', 'Luke Rivett']",Noble Jones,United States,94,2019-01-30,Bleecker Street,English,Noble Jones,"['John Lithgow', 'Blythe Danner', 'Derek Cecil', 'Katie Aselton', 'Sophie Thatcher', 'Eve Harlow']",Zimo Huang,Paul Leonard-Morgan,"['Symbolic Exchange', 'Anonymous Content']",,,,354103.0,
Aladdin,Guy Ritchie,"['Dan Lin', 'Jonathan Eirich']",Alan Stewart,United States,128,2019-05-08,"['Walt Disney Studios', 'Motion Pictures']",English,"['John August', 'Guy Ritchie']","['Will Smith', 'Mena Massoud', 'Naomi Scott', 'Marwan Kenzari', 'Navid Negahban', 'Nasim Pedrad', 'Billy Magnussen']",James Herbert,Alan Menken,"['Walt Disney Pictures', 'Rideback']","[""Disney 's Aladdin"", '"" Aladdin and the Magic Lamp "" which is associated with One Thousand and One Nights']",,183000000.0,,
Brightburn,David Yarovesky,"['James Gunn', 'Kenneth Huang']",Michael Dallatorre,United States,90,2019-05-24,Sony Pictures Releasing,English,"['Brian Gunn', 'Mark Gunn']","['Elizabeth Banks', 'David Denman', 'Jackson A. Dunn', 'Matt Jones', 'Meredith Hagner']","['Andrew S. Eisen', 'Peter Gvozdas']",Tim Williams,"['Screen Gems', 'Stage 6 Films', 'The H Collective', 'Troll Court Entertainment']",,,6000000.0,32900000.0,Success
Booksmart,Olivia Wilde,"['Megan Ellison', 'Chelsea Barnard', 'David Distenfield', 'Jessica Elbaum', 'Katie Silberman']",Jason McCormick,United States,105,2019-03-10,United Artists Releasing,English,"['Emily Halpern', 'Sarah Haskins', 'Susanna Fogel', 'Katie Silberman']","['Kaitlyn Dever', 'Beanie Feldstein', 'Jessica Williams', 'Lisa Kudrow', 'Will Forte', 'Jason Sudeikis']","['Brent White', 'Jamie Gross']",Dan the Automator,"['Annapurna Pictures', 'Gloria Sanchez Productions']",,,6000000.0,25000000.0,Success
The Perfection,Richard Shepard,"['Bill Block', 'Stacey Reiss', 'Richard Shepard']",Vanja Černjul,United States,90,2018-09-20,Netflix,English,"['Richard Shepard', 'Eric Charmelo', 'Nicole Snyder']","['Allison Williams', 'Logan Browning', 'Steven Weber', 'Alaina Huffman']",David Dean,Paul Haslinger,"['Miramax', 'Capstone Film Group']",,,,,
Always Be My Maybe,Nahnatchka Khan,"['Nathan Kahane', 'Erin Westerman', 'Randall Park', 'Ali Wong']",Tim Suhrstedt,United States,102,2019-05-31,Netflix,English,"['Randall Park', 'Ali Wong', 'Michael Golamco']","['Ali Wong', 'Randall Park', 'James Saito', 'Michelle Buteau', 'Vivian Bang', 'Daniel Dae Kim', 'Keanu Reeves']",Lee Haxall,"['Michael Andrews', 'Greyboy']",Good Universe,,,,,
Godzilla: King of the Monsters,Michael Dougherty,"['Mary Parent', 'Alex Garcia', 'Thomas Tull', 'Jon Jashni', 'Brian Rogers']",Lawrence Sher,,132,2019-05-13,"['Warner Bros. Pictures', 'Toho']",English,"['Michael Dougherty', 'Zach Shields']","['Kyle Chandler', 'Vera Farmiga', 'Millie Bobby Brown', 'Bradley Whitford', 'Sally Hawkins', 'Charles Dance', 'Thomas Middleditch', 'Aisha Hinds', ""O'Shea Jackson Jr."", 'David Strathairn', 'Ken Watanabe', 'Zhang Ziyi']","['Roger Barton', 'Richard Pearson', 'Bob Ducsay']",Bear McCreary,"['Legendary Pictures', 'Toho', 'Wanda Qingdao Studios']","['Godzilla', ', ', 'King Ghidorah', ', ', 'Mothra', ' and ', 'Rodan', 'by ', 'Toho Co., Ltd']","['Max Borenstein', 'Michael Dougherty', 'Zach Shields']",170000000.0,387300000.0,Success
Rocketman,Dexter Fletcher,"['Adam Bohling', 'David Furnish', 'David Reid', 'Matthew Vaughn']",George Richmond,,121,2019-05-16,Paramount Pictures,English,Lee Hall,"['Taron Egerton', 'Jamie Bell', 'Richard Madden', 'Bryce Dallas Howard']",Chris Dickens,Matthew Margeson,"['New Republic Pictures', 'Marv Films', 'Rocket Pictures']",,,40000000.0,195300000.0,Success
Ma,Tate Taylor,"['Jason Blum', 'Tate Taylor', 'John Norris']",Christina Voros,United States,99,2019-05-31,Universal Pictures,English,Scotty Landes,"['Octavia Spencer', 'Juliette Lewis', 'Diana Silvers', 'Corey Fogelmanis', 'Gianni Paolo', 'McKaley Miller', 'Luke Evans']","['Lucy Donaldson', 'Jin Lee']",Gregory Tripi,"['Blumhouse Productions', 'Wyolah Films']",,,5000000.0,61200000.0,Success
Dark Phoenix,Simon Kinberg,"['Simon Kinberg', 'Hutch Parker', 'Lauren Shuler Donner', 'Todd Hallowell']",Mauro Fiore,United States,114,2019-06-04,20th Century Fox,English,Simon Kinberg,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Nicholas Hoult', 'Sophie Turner', 'Tye Sheridan', 'Alexandra Shipp', 'Jessica Chastain']",Lee Smith,Hans Zimmer,"['20th Century Fox', 'Marvel Entertainment', 'Kinberg Genre', 'Hutch Parker Productions', 'Bad Hat Harry Productions', ""The Donners' Company"", 'TSG Entertainment']","['X-Men by Stan Lee Jack Kirby', 'Stan Lee', 'Jack Kirby', '"" The Dark Phoenix Saga "" by Chris Claremont John Byrne', 'Chris Claremont', 'John Byrne']",,200000000.0,252400000.0,Failure
The Secret Life of Pets 2,Chris Renaud,"['Chris Meledandri', 'Janet Healy']",,United States,86,2019-05-24,Universal Pictures,English,Brian Lynch,"['Patton Oswalt', 'Kevin Hart', 'Eric Stonestreet', 'Jenny Slate', 'Tiffany Haddish', 'Lake Bell', 'Nick Kroll', 'Dana Carvey', 'Ellie Kemper', 'Chris Renaud', 'Hannibal Buress', 'Bobby Moynihan', 'Harrison Ford']",Tiffany Hillkurtz,Alexandre Desplat,Illumination,,,80000000.0,446200000.0,Success
Late Night,Nisha Ganatra,"['Ben Browning', 'Jillian Apfelbaum', 'Mindy Kaling', 'Howard Klein']",Matthew Clark,United States,102,2019-01-25,Amazon Studios,English,Mindy Kaling,"['Emma Thompson', 'Mindy Kaling', 'Max Casella', 'Hugh Dancy', 'John Lithgow', ""Denis O'Hare"", 'Reid Scott', 'Amy Ryan']",Eleanor Infante,Lesley Barber,"['FilmNation Entertainment', '30West', 'Imperative Entertainment', '3 Arts Entertainment', 'Kaling International']",,,9500000.0,22400000.0,Success
The Last Black Man in San Francisco,Joe Talbot,"['Khaliah Neal', 'Joe Talbot', 'Dede Gardner', 'Jeremy Kleiner', 'Christina Oh']",Adam Newport-Berra,United States,120,2019-01-26,A24,English,"['Joe Talbot', 'Rob Richert']","['Jimmie Fails', 'Jonathan Majors', 'Tichina Arnold', 'Rob Morgan', 'Mike Epps', 'Finn Wittrock', 'Danny Glover']",David Marks,Emile Mosseri,"['Plan B Entertainment', 'Longshot Features', 'Mavia Entertainment']",,"['Jimmie Fails', 'Joe Talbot']",3000000.0,4600000.0,Failure
Changeland,Seth Green,Corey Moosa,Patrick Ruth,United States,86,2019-06-07,Gravitas Ventures,English,Seth Green,"['Seth Green', 'Breckin Meyer', 'Brenda Song', 'Macaulay Culkin', 'Clare Grant', 'Randy Orton', 'Rose Williams', 'Kedar Williams-Stirling']",Elizabeth Yng-Wong,Patrick Stump,"['Living Films', 'Stoopid Buddy Stoodios', 'Karivara Films']",,,,,
Men in Black: International,F. Gary Gray,"['Walter F. Parkes', 'Laurie MacDonald']",Stuart Dryburgh,United States,115,2019-06-11,Sony Pictures Releasing,English,"['Art Marcum', 'Matt Holloway']","['Chris Hemsworth', 'Tessa Thompson', 'Rebecca Ferguson', 'Kumail Nanjiani', 'Rafe Spall', 'Les Twins', 'Emma Thompson', 'Liam Neeson']","['Zene Baker', 'Christian Wagner']","['Danny Elfman', 'Chris Bacon']","['Columbia Pictures', 'Amblin Entertainment', 'P + M Productions', 'Image Nation', 'Tencent Pictures', 'The Hideaway Entertainment']","['Lowell Cunningham', 'Sandy Carruthers']",,94000000.0,253900000.0,Success
Shaft,Tim Story,['John Davis'],Larry Blanford,United States,112,2019-06-14,"['Warner Bros. Pictures (USA/Canada)', 'Netflix (International)']",English,"['Kenya Barris', 'Alex Barnow']","['Samuel L. Jackson', 'Jessie T. Usher', 'Regina Hall', 'Alexandra Shipp', 'Richard Roundtree']",Peter S. Elliot,Christopher Lennertz,"['Davis Entertainment', 'Khalabo Ink Society', 'New Line Cinema']","['John Shaft', 'by ', 'Ernest Tidyman']",,30000000.0,21400000.0,Failure
